,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3
CashflowFinancingCashflow_yy,,,,,-150.00,,37127.78,3738.00,-6.67,-100.95,-95.29,-100.03,68.75,76.47,-100.64,650100.00,100.00,15100.00,100.00,-102.31,,218.00,,-98.83,-73.73,-348.85,242.51,518.36,139.17,90.02,-139.75,-189.32,-587.09,656.96,63.85,63.73,62.62,-114.92,160.53,100.00,100.00,100.00,-100.00
CashflowFinancingCashflow_sy,,,,,91.32,,53.61,100.00,-6.67,6.84,-20.83,38.34,18.75,-10.06,-37.26,-5.48,5.40,-83.46,-37.48,-49.42,,-42.67,,37.20,73.87,-12.41,36.50,-40.04,-4.70,37.14,-66.31,20.66,16.93,48.60,5.59,45.22,11.84,-29.89,60.82,28.99,-10.43,46.58,-41.94
CashflowFinancingCashflow_qq,,100.00,,-1844.44,95.71,12006.67,273.18,91.04,-100.13,-6.25,1947.06,-101.27,-25.00,20.00,50.00,1300100.00,-100.00,,-100.00,,237.67,130.99,20.34,-151.96,118.19,-2288.02,265.63,-36.53,-89.60,-191.33,-559.49,-42.61,43.29,204.43,-142.80,-43.10,41.56,58.31,273.60,-100.00,,,
CashflowFinancingCashflow_sq,,-6.98,,-98.39,100.00,25.93,-12.63,-34.66,50.30,87.47,-9.43,-61.26,-16.05,11.66,-19.61,3.70,7.14,,-34.38,,17.07,-4.40,37.38,11.39,118.19,-25.61,3.87,-101.40,63.71,-35.08,-79.17,-61.72,59.01,-23.74,-67.60,45.77,41.56,-39.19,36.92,-40.20,,,
CashflowShareCapitalCash,,,,,,,8500000,13000000,,,320000,0,,,,26000000,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_yy,,,,,,,,,,,-96.24,-100.00,,,-100.00,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sy,,,,,,,,,,,-100.00,-91.65,,,-100.00,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_qq,,,,,,,,52.94,-100.00,,,-100.00,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowShareCapitalCash_sq,,,,,,,,-100.01,-56.88,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowNetCashflow,-65000,420000,-403000,997000,-1075000,23000,1046000,,-38000,,104000,,2251000,,18722000,,,,,,,,,,,,,,,,,,411000,,234000,,456000,,665000,317000,,,
CashflowNetCashflow_yy,,,,,-1553.85,-94.52,359.55,-100.00,96.47,-100.00,-90.06,,6023.68,,17901.92,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,10.95,,184.19,,-100.00,,-100.00
CashflowNetCashflow_sy,,,,,18.71,-89.61,-72.65,20.90,2.63,100.00,-62.56,,-23.96,,-77.66,,-28.78,,-26.84,,,,,,,,,,,,,,,,,,13.39,,-14.44,,-12.26,,7.28
CashflowNetCashflow_qq,,746.15,-195.95,347.39,-207.82,102.14,4447.83,-100.00,,100.00,,-100.00,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,-100.00,,-100.00,,-100.00,,-52.37,-100.00,,
CashflowNetCashflow_sq,,102.20,275.50,-56.73,-21.32,85.36,91.08,138.91,,100.00,,63.06,,35.58,,112.40,,,,,,,,,,,,,,,,,,33.56,,102.64,,-14.98,,125.30,-142.57,,
